dates,year,NA1_distance_m,NA2_distance_m,NA3_distance_m,NA4_distance_m,NA5_distance_m
2022-01-28 02:17:33+00:00,2022,152.78166837943078,173.33481827081386,253.9746063576639,191.23773176046453,199.32937583522383
2022-02-21 02:17:57+00:00,2022,152.79897763726967,173.3302172017185,253.3410613798796,190.6041091348757,199.4980046487495
2022-03-01 02:17:26+00:00,2022,152.5739821170543,173.32375606038744,257.2435095009879,194.50655467491373,
2022-03-17 02:17:20+00:00,2022,,,,,168.83128112972264
2022-03-25 02:17:23+00:00,2022,158.44245281758282,173.3372738249089,238.82618720187062,189.30687775833266,146.4125859467929
2022-04-18 02:17:39+00:00,2022,155.40066715707715,173.3404641427082,237.49594324365614,174.75897049623404,129.44904957421258
2022-04-26 02:17:10+00:00,2022,151.62779844529572,173.3170262327443,253.48767072079505,190.75075318170323,162.54306685532853
2022-05-04 02:17:15+00:00,2022,154.486430079056,173.34442346077714,237.58267579815998,174.84572358239294,133.4951346080437
2022-05-12 02:17:03+00:00,2022,152.52375395962687,173.9845913922785,239.333393750952,176.5968559716935,148.62157778787648
2022-05-20 02:17:46+00:00,2022,158.2831057421477,173.33534460415964,238.06443754965207,175.32759937833055,134.56024697107046
2022-06-13 02:17:01+00:00,2022,152.71471708815466,173.33713519380876,255.3584252503602,192.62151669001543,153.97108365268664
2022-07-15 02:17:13+00:00,2022,152.80888844591908,173.32892906761077,259.1194978792068,196.38249701064376,149.5472383028519
2022-07-23 02:17:45+00:00,2022,145.8475251474892,173.3424871177622,253.82215586561182,191.0852850100135,166.22294233096517
2022-09-17 02:17:43+00:00,2022,146.73984243462084,176.21638204384757,,,
2022-11-04 02:17:49+00:00,2022,152.750734553302,176.76362260713861,268.0751041157354,205.9450891554084,182.3496494471956
2022-11-12 02:18:00+00:00,2022,,,,,
2022-12-06 02:18:15+00:00,2022,,,,,
2022-12-22 02:18:13+00:00,2022,,,,,
2023-01-07 02:17:52+00:00,2023,137.804349547146,173.3177904384498,,,
2023-01-23 02:18:09+00:00,2023,137.15024014398404,173.31580198079115,,,
2023-02-16 02:18:04+00:00,2023,,,252.3528481114051,189.61566193285637,171.11498843801596
2023-02-24 02:17:41+00:00,2023,143.15641077295675,173.32345295347537,252.6434841738684,189.9063667957765,
2023-03-04 02:17:27+00:00,2023,145.3857869954135,173.34012426397743,267.31809318835764,205.14796983964385,
2023-03-12 02:17:58+00:00,2023,146.63033019295153,173.33606635535847,252.51367990035664,189.77653179451113,174.7925885587793
2023-03-28 02:17:48+00:00,2023,,173.34474066296278,252.47763656183955,189.74047992368003,
2023-04-21 02:17:20+00:00,2023,146.8383700167181,173.31339270632654,266.1985951008298,203.46142048958308,168.96640397278196
2023-04-29 02:17:11+00:00,2023,153.9514445372051,173.33181808649064,253.07023447037582,190.33321811421192,164.51675630051747
2023-05-07 02:16:49+00:00,2023,154.8338271591557,175.9748078690032,238.6127361640445,175.8760277880238,138.73349836489783
2023-06-08 02:17:13+00:00,2023,154.2750473039222,173.34965689124755,263.6239058573676,200.88679443686468,168.4153921196165
2023-06-24 02:16:55+00:00,2023,156.6465493592074,174.02806286366268,253.01760514061087,190.28057632583497,166.55471627302933
2023-07-18 02:17:25+00:00,2023,155.04634927165512,180.72719192665662,258.7419629250326,196.00497132233133,163.5875028140355
2023-08-03 02:17:33+00:00,2023,171.38534754860524,192.19241371902893,,,
2023-08-19 02:17:12+00:00,2023,144.03994525296542,173.33183079184644,256.84725405319006,194.1103089524358,172.20492372948644
2023-09-20 02:17:30+00:00,2023,145.44674818192547,173.34702310897003,,,
2023-09-28 02:17:56+00:00,2023,151.89139626931257,173.81030125714014,253.36175238646888,190.62480503951753,168.42054513801935
2023-10-14 02:17:35+00:00,2023,150.60348886220947,173.3485847961593,252.81460858332684,190.07753171444585,179.5557191348556
2023-11-23 02:18:06+00:00,2023,142.70693437386691,173.6066461953884,254.02886309487099,191.29198716604543,201.8497619301339
2023-12-09 02:17:39+00:00,2023,142.6149835214381,173.92346970518747,515.7033776190955,452.9688461515388,326.7089825166041
2023-12-25 02:17:46+00:00,2023,143.1147304327997,173.33906119076815,515.4069456883262,452.672344048293,324.8265717561677
2024-01-02 02:17:32+00:00,2024,132.96420762023234,158.31452513711304,513.3885091304271,450.6534296785348,316.81530661283915
2024-01-10 02:18:05+00:00,2024,141.32108024320866,173.33132936768027,512.4417294987175,449.70642592160596,315.53223045268845
2024-01-18 02:17:32+00:00,2024,140.66402689704154,173.31501588551353,511.96891363338136,449.2334981295279,316.8058456629019
2024-01-26 02:17:39+00:00,2024,137.77105031213347,173.3030686572886,511.90854833052316,449.1731185367692,317.11669941881087
2024-02-03 02:17:54+00:00,2024,140.1948897214453,173.31878818318302,515.1023440098334,452.36767026335036,323.1365374270686
2024-02-11 02:18:07+00:00,2024,139.5159118247291,158.3102574529023,,,
2024-02-19 02:17:29+00:00,2024,143.0717920538462,173.32454482442125,513.0075946126942,450.27242498929104,327.65428911680726
2024-02-27 02:17:57+00:00,2024,146.31362992526982,173.32116642015708,511.7535728506929,449.01810637056315,326.42358980581423
2024-03-06 02:17:42+00:00,2024,145.57132228006566,173.32436257342263,510.433059427532,447.69728035052066,329.07008790857833
2024-03-22 02:17:09+00:00,2024,155.18630951628452,171.79896840890396,,,
2024-03-30 02:17:50+00:00,2024,159.1028870584479,173.33870179552756,239.08588081815356,176.3492844467069,158.11622837137088
2024-04-07 02:17:01+00:00,2024,152.87610539885844,173.33699389285715,239.12180200652648,189.30369646975075,175.07212313545605
2024-04-15 02:17:42+00:00,2024,154.35068393232092,173.3327141330335,252.27979695788554,189.54259348639422,163.9223652748612
2024-04-23 02:17:17+00:00,2024,158.5492964515205,173.34057903904645,238.19368777486466,175.45688020014038,167.32191589582806
2024-05-01 02:17:02+00:00,2024,158.97207001325938,174.78324601344107,238.57673195071914,175.84001505164628,165.35719420418238
2024-05-17 02:16:53+00:00,2024,150.2693059411132,173.33414420467582,253.48405447550306,190.74713608036012,174.10885759436277
2024-05-25 02:16:28+00:00,2024,,,,,
2024-06-18 02:16:59+00:00,2024,137.01203264524412,173.32171548079532,268.91526367763913,206.17826780284184,
2024-09-30 02:17:37+00:00,2024,156.32758298647747,179.12321572794662,240.94817215677455,178.21161726808677,166.5411946031573
2024-10-08 02:17:19+00:00,2024,,,,,
2024-11-09 02:17:30+00:00,2024,137.69963710743653,173.30098327121945,,,
2024-11-25 02:17:41+00:00,2024,,188.31615957470842,,,
2024-12-03 02:17:59+00:00,2024,152.75368620135097,173.35033261332742,239.31561708534778,176.57907509793043,66.57294688998445
2024-12-11 02:17:55+00:00,2024,152.87023909570343,,,,
